name,date
OR971493,2022.10685
OR971494,2022.12603
OR971495,2022.12877
OR971496,2022.16712
OR971497,2022
OR971498,2018.10411
OR971499,2018.13699
OR971500,2018.15616
OR971501,2018.15616
OR971502,2018.33151
OR971503,2018.60548
OR971504,2018.70137
OR971505,2018.93151
OR971506,2019.17808
OR971507,2021.01096
OR971508,2021.01096
OR971509,2021.0274
OR971510,2021.04932
OR971511,2021.05205
OR971512,2021.08493
OR971513,2021.08493
OR971514,2021.08493
OR971515,2021.08493
OR971516,2021.1726
OR971517,2021.1726
OR971518,2021.21918
OR971519,2021.21918
OR971520,2021.21918
OR971521,2021.21918
OR971522,2021.24932
OR971523,2021.27671
OR971524,2021.29589
OR971525,2021.29589
OR971526,2021.31507
OR971527,2021.31781
OR971528,2021.31507
OR971529,2021.33425
OR971530,2021.33425
OR971531,2021.33973
OR971532,2021.34247
OR971533,2021.35342
R5-21-115,2021.73973
R5-21-119,2021.7863
R5-21-128,2021.85479
R5-21-132,2021.87123
R5-21-136,2021.91781
R5-21-140,2021.93973
R5-22-008,2022.08767
R5-22-09,2022.10137
OR971534,2019.28493
OR971535,2019.4411
OR971536,2019.45753
OR971537,2019.65753
OR971538,2019.70959
OR971539,2019.7726
OR971540,2021.7589
OR971541,2021.76164
OR971542,2021.76164
OR971543,2021.76438
OR971544,2021.77808
OR971545,2021.77808
OR971546,2021.78082
OR971547,2021.79726
OR971548,2021.79726
OR971549,2021.80548
OR971550,2021.8137
OR971551,2021.8137
OR971552,2021.81644
OR971553,2021.81918
OR971554,2021.82466
OR971555,2021.81918
OR971556,2021.52603
OR971557,2021.69589
OR971558,2021.69589
R6-21-4343,2021
R6-21-4375,2021.74795
R6-21-4511,2021.76712
R6-21-4600,2021.78356
R6-4342,2021.74521
R6-4568,2021.78082
OR971559,2021.78082
OR971560,2021.78082
OR971561,2021.79452
OR971562,2021.80274
OR971563,2021.81644
OR971564,2021.69315
OR971565,2021.69315
OR971566,2021.69315
OR971567,2021.77534
OR971568,2021.94247
OR971569,2021.89041
OR971570,2021.89041
OR971571,2022.49589
OR971572,2022.06849
OR971573,2022.58356
OR971574,2022.12055
OR971575,2022.12329
OR971576,2022.13973
OR971577,2022.1589
R7-21-149,2021
R7-21-161,2021.79452
OR971584,2021.15342
OR971585,2021.15342
OR971586,2021.22192
OR971587,2021.2411
OR971588,2021.26575
OR971589,2021.28493
OR971590,2021.30411
OR971591,2021.31507
R9-010,2020.07104
R9-074,2021.63288
R9-089,2021.76438
R9-105,2021.93699
OR971592,2019.76986
