seq_name	Preferred_date	Region_std
4B-22-21	31-May-22	R17
4B-22-28	27-Jul-22	R17
4B-22-30	12-Aug-22	R17
4B-22-31	18-Aug-22	R17
4B-22-35	25-Oct-22	R17
4B-22-37	1-Oct-22	R17
4B-22-39	21-Oct-22	R17
4B-22-40	2-Dec-22	R17
4B-22-41	24-Nov-22	R17
4B-22-42	26-Nov-22	R17
4B-22-44	11-Dec-22	R17
4B-22-45	12-Dec-22	R17
4B-23-01	20-Jan-23	R17
4B-23-02	13-Jan-23	R17
4B-23-03	22-Jan-23	R17
4B-23-04	31-Jan-23	R17
4B-23-05	20-Jan-23	R17
4B-23-06	2-Feb-23	R17
4B-23-07	7-Feb-23	R17
4B-23-11	7-Feb-23	R17
4B-23-12	14-Feb-23	R17
4B-23-13	9-Feb-23	R17
4B-23-15	16-Feb-23	R17
4B-23-16	28-Feb-23	R17
4B-23-17	1-Mar-23	R17
4B-23-19	1-Mar-23	R17
4B-2422	4-Feb-22	R17
4B-2922HM	9-Feb-22	R17
4B-2922JG	9-Feb-22	R17
CAR-22-018	1-Jan-22	R14
CAR-22-020	1-Jan-22	R14
R1-21-148	10-Apr-21	R1
R10-688	2-Jul-21	R10
R10-711	12-Jul-21	R10
R10-714	11-Jul-21	R10
R10-824	9-Sep-21	R10
R10-856	27-Sep-21	R10
R10-907	25-Oct-21	R10
R10-920	26-Oct-21	R10
R10-989	25-Nov-21	R10
R10-990	25-Nov-21	R10
R11-21-61	11-Aug-21	R19
R11-21-63	4-Oct-21	R11
R11-22-001	1-Jan-22	R11
R11-22-002	5-Jan-22	R11
R2-081	31-Aug-20	R2
R2-22-5302	4-Mar-22	R2
R2-22-5814	7-Mar-22	R2
R2-22-84711	6-Apr-22	R2
R2-22-8924	1-Jan-22	R2
R3-0483	1-Jan-22	R3
R3-731	9-Dec-21	R3
R5-21-115	28-Sep-21	R5
R5-21-119	15-Oct-21	R5
R5-21-128	9-Nov-21	R5
R5-21-132	15-Nov-21	R5
R5-21-136	2-Dec-21	R5
R5-21-140	10-Dec-21	R5
R5-22-008	2-Feb-22	R5
R5-22-09	7-Feb-22	R5
R6-21-4343	1-Jan-21	R6
R6-21-4375	1-Oct-21	R6
R6-21-4511	8-Oct-21	R6
R6-21-4600	14-Oct-21	R6
R6-4342	30-Sep-21	R6
R6-4568	13-Oct-21	R6
R7-21-149	1-Jan-21	R7
R7-21-161	18-Oct-21	R7
R9-010	27-Jan-20	R9
R9-074	20-Aug-21	R9
R9-089	7-Oct-21	R9
R9-105	9-Dec-21	R9
RADDL1-16-153	18-Jul-16	R1
RADDL1-16-166	9-Aug-16	R1
RADDL3-1045	23-Oct-15	R3
RADDL3-15-172	12-Feb-15	R3
RADDL3-16-1008	27-Oct-16	R3
RADDL3-16-468	1-Jun-16	R3
RADDL3-16-521	15-Jun-16	R3
RADDL3-16-627	27-Jul-16	R3
RADDL3-845	2-Sep-15	R3
RADDL5-005	30-Jan-15	R5
Z-05-102	21-Feb-05	R13
Z-05-191	10-Apr-05	R13
Z-05-557	3-Dec-05	R13
Z-05-96	17-Feb-05	R13
Z-06-150	24-Apr-06	R4
Z-06-295	22-Jul-06	R4
Z-06-39	26-Jan-06	R4
Z-07-07	8-Jan-07	R4
Z-07-351	25-Oct-07	R13
Z-07-366	12-Nov-07	R4
Z-07-38	2-May-07	R4
Z-07-387	7-Dec-07	R4
Z-07-398	19-Dec-07	R4
Z-07-403	22-Dec-07	R4
Z-07-407	26-Dec-07	R13
Z-08-351	12-Dec-08	R4
Z-08-359	25-Dec-08	R4
Z-09-94	8-Apr-09	R13
Z-12-012	16-Jan-12	R4
Z-12-029	3-Feb-12	R13
Z-12-060	25-Feb-12	R4
Z-12-149	28-Jun-12	R17
Z-12-208	2-Oct-12	R13
Z-13-020	2-Feb-13	R13
Z-13-032	14-Feb-13	R13
Z-13-036	25-Feb-13	R13
Z-13-065	4-Apr-13	R4
Z-13-066	5-Apr-13	R4
Z-13-071	10-Apr-13	R13
Z-13-073	12-Apr-13	R13
Z-13-081	25-Apr-13	R4
Z-13-086	3-May-13	R4
Z-13-089	4-May-13	R4
Z-13-094	10-May-13	R4
Z-13-096	12-May-13	R13
Z-13-098	13-May-13	R13
Z-13-134	10-Jun-13	R13
Z-13-135	12-Jun-13	R4
Z-13-161	20-Jul-13	R4
Z-13-171	5-Aug-13	R4
Z-13-184	29-Aug-13	R4
Z-13-204	26-Sep-13	R4
Z-13-216	25-Oct-13	R17
Z-13-234	15-Nov-13	R4
Z-13-259	18-Dec-13	R4
Z-14-023	31-Jan-14	R4
Z-14-033	7-Feb-14	R4
Z-14-05	5-Jan-14	R4
Z-14-058	14-Mar-14	R4
Z-14-098	29-Apr-14	R4
Z-14-101	4-May-14	R13
Z-14-106	8-May-14	R4
Z-14-126	31-May-14	R13
Z-14-136	11-Jun-14	R4
Z-14-142	21-Jun-14	R4
Z-14-182	20-Aug-14	R3
Z-14-243	13-Nov-14	R4
Z-15-001	1-Jan-15	R4
Z-15-009	16-Jan-15	R13
Z-15-163	5-Sep-15	R4
Z-16-082	24-May-16	R4
Z-16-150	5-Sep-16	R13
Z-16-151	5-Sep-16	R4
Z-16-196	23-Nov-16	R4
Z-16-209	14-Dec-16	R4
Z-16-210	16-Dec-16	R13
Z-16-211	19-Dec-16	R4
Z-17-046	6-Mar-17	R4
Z-17-174	23-Sep-17	R13
Z-17-177	25-Sep-17	R4
Z-17-193	13-Oct-17	R4
Z-17-200	31-Oct-17	R4
Z-17-217	16-Nov-17	R4
Z-17-221	28-Nov-17	R4
Z-17-57	29-Mar-17	R17
Z-18-001	2-Jan-18	R4
Z-18-114	28-May-18	R4
Z-18-159	19-Jul-18	R3
