#node	date	numeric date
NODE_0000264	2009-06-16	2009.455158
NODE_0000265	2016-07-10	2016.523842
OR971396	2019-10-04	2019.757534
NODE_0000266	2017-06-13	2017.448226
NODE_0000267	2019-01-05	2019.011644
OR971342	2022-06-01	2022.415068
OR971325	2019-09-16	2019.708219
NODE_0000268	2018-06-26	2018.482322
OR971393	2019-08-20	2019.634247
NODE_0000269	2019-10-04	2019.757905
R2-22-5302	2022-03-04	2022.171233
NODE_0000270	2020-04-18	2020.295113
OR971404	2021-05-11	2021.357534
NODE_0000271	2021-02-26	2021.155199
OR971402	2021-08-13	2021.615068
OR971406	2021-12-27	2021.987671
OR971407	2021-12-30	2021.995890
NODE_0000273	2012-07-30	2012.577436
NODE_0000274	2017-03-22	2017.220690
NODE_0000275	2018-03-15	2018.200588
OR971332	2021-03-11	2021.190411
OR971394	2019-01-01	2019.001370
NODE_0000276	2017-11-03	2017.839911
R2-081	2020-08-31	2020.665301
OR971323	2019-08-26	2019.650685
OR971327	2019-09-23	2019.727397
NODE_0000278	2015-11-03	2015.839891
NODE_0000279	2016-02-01	2016.086457
OR971398	2019-10-08	2019.768493
OR971399	2019-10-10	2019.773973
NODE_0000281	2020-01-02	2020.005295
OR971400	2021-09-08	2021.686301
OR971333	2021-05-03	2021.335616
NODE_0000282	2016-12-09	2016.937539
NODE_0000283	2021-01-02	2021.004324
R2-22-8924	2022-01-01	2022.001370
R2-22-84711	2022-04-06	2022.261644
NODE_0000284	2018-12-22	2018.972805
R2-22-5814	2022-03-07	2022.179452
NODE_0000285	2022-01-01	2022.001370
OR971345	2022-10-03	2022.754795
CAR-22-018	2022-01-01	2022.001370
NODE_0000261	1981-04-09	1981.269742
NODE_0000521	1981-07-23	1981.557014
NODE_0000522	1989-10-28	1989.823309
KX148259	1994-01-01	1994.001370
NODE_0000523	1995-06-11	1995.442389
Z-98-838	1998-08-09	1998.604110
NODE_0000524	1999-03-22	1999.220642
KX148260	2004-01-01	2004.001366
Z-06-39	2006-01-26	2006.069863
NODE_0000525	1984-07-30	1984.578311
KX148261	1994-01-01	1994.001370
NODE_0000526	1990-07-16	1990.539521
NODE_0000527	2005-04-18	2005.294662
RADDL3-1045	2015-10-23	2015.809589
NODE_0000528	2014-04-14	2014.284148
RADDL1-16-153	2016-07-18	2016.545082
NODE_0000529	2014-10-18	2014.795805
RADDL3-16-1008	2016-10-27	2016.821038
NODE_0000530	2018-02-24	2018.149089
OR971381	2019-09-10	2019.691781
OR971390	2022-04-04	2022.256164
OR971392	2022-04-21	2022.302740
NODE_0000532	1991-10-11	1991.775344
NODE_0000533	1999-11-26	1999.902329
NODE_0000534	2016-08-10	2016.609259
153	2018-05-17	2018.373973
NODE_0000535	2016-10-16	2016.791644
NODE_0000536	2017-06-21	2017.469874
REGION_5_2018-100	2018-03-27	2018.234247
14	2019-01-28	2019.075342
NODE_0000538	2018-05-26	2018.397942
OR971506	2019-03-07	2019.179452
NODE_0000539	2020-08-16	2020.623117
OR971519	2021-03-22	2021.220548
OR971515	2021-02-01	2021.086301
NODE_0000540	2017-05-25	2017.395225
NODE_0000322	2017-10-02	2017.752802
OR971509	2021-01-11	2021.028767
NODE_0000542	2018-07-12	2018.526485
19-30	2019-11-02	2019.836986
19-40	2019-02-27	2019.157534
NODE_0000543	2017-08-27	2017.653135
REGION_5_2018-304	2018-10-25	2018.815068
NODE_0000544	2017-10-25	2017.814849
REGION_5_2018-50	2018-12-20	2018.968493
NODE_0000545	2018-09-02	2018.670907
REGION_5_2019-13	2019-01-17	2019.045205
REGION_5_2019-1	2019-03-20	2019.215068
NODE_0000546	2008-10-05	2008.761563
NODE_0000547	2015-12-21	2015.970022
NODE_0000548	2019-04-14	2019.284054
OR971523	2021-04-12	2021.278082
NODE_0000549	2020-03-07	2020.182585
OR971516	2021-03-05	2021.173973
NODE_0000550	2020-12-15	2020.953919
OR971518	2021-03-22	2021.220548
R5-21-128	2021-11-09	2021.856164
NODE_0000551	2017-01-23	2017.060742
NODE_0000552	2019-06-17	2019.458685
OR971530	2021-05-03	2021.335616
R5-21-140	2021-12-10	2021.941096
NODE_0000553	2018-11-02	2018.836390
OR971529	2021-05-03	2021.335616
NODE_0000555	2019-10-03	2019.755964
OR971512	2021-02-01	2021.086301
R5-21-115	2021-09-28	2021.741096
NODE_0000556	2019-01-13	2019.033049
NODE_0000557	2020-12-23	2020.977184
OR971524	2021-04-19	2021.297260
OR971514	2021-02-01	2021.086301
NODE_0000558	2020-01-23	2020.062684
OR971533	2021-05-10	2021.354795
OR971513	2021-02-01	2021.086301
NODE_0000559	2014-11-12	2014.863890
RADDL5-005	2015-01-30	2015.080822
NODE_0000561	2019-12-23	2019.977170
OR971532	2021-05-06	2021.343836
NODE_0000562	2020-05-18	2020.378790
OR971517	2021-03-05	2021.173973
NODE_0000563	2021-11-15	2021.872603
R5-21-132	2021-11-15	2021.872603
R5-22-008	2022-02-02	2022.089041
NODE_0000564	2017-02-02	2017.090146
REGION_5_2018-311	2018-11-13	2018.867123
NODE_0000565	2017-11-10	2017.859757
OR971505	2018-12-07	2018.932877
NODE_0000566	2018-03-11	2018.190861
OR971531	2021-05-05	2021.341096
NODE_0000567	2018-07-20	2018.550136
OR971508	2021-01-05	2021.012329
OR971511	2021-01-20	2021.053425
NODE_0000569	2019-11-28	2019.907662
OR971525	2021-04-19	2021.297260
R5-21-136	2021-12-02	2021.919178
OR971510	2021-01-19	2021.050685
NODE_0000571	1992-04-23	1992.309395
Z-98-433	1998-04-30	1998.327397
NODE_0000572	1994-06-27	1994.487031
NODE_0000573	2000-02-27	2000.156001
NODE_0000574	2003-04-11	2003.275186
Z-05-191	2005-04-10	2005.272603
Z-05-96	2005-02-17	2005.130137
NODE_0000575	2016-06-04	2016.424316
NODE_0000583	2017-04-05	2017.257951
OR971522	2021-04-02	2021.250685
NODE_0000584	2020-05-27	2020.403752
OR971521	2021-03-22	2021.220548
R5-22-09	2022-02-07	2022.102740
NODE_0000585	2016-12-24	2016.978168
OR971498	2018-02-08	2018.105479
NODE_0000586	2017-04-11	2017.275196
OR971500	2018-02-27	2018.157534
OR971501	2018-02-27	2018.157534
NODE_0000588	2020-10-22	2020.807641
OR971526	2021-04-26	2021.316438
NODE_0000589	2021-03-04	2021.170667
OR971528	2021-04-26	2021.316438
OR971520	2021-03-22	2021.220548
NODE_0000576	2017-01-22	2017.059323
NODE_0000577	2020-05-09	2020.353095
OR971507	2021-01-05	2021.012329
NODE_0000578	2020-08-07	2020.598654
OR971527	2021-04-27	2021.319178
R5-21-119	2021-10-15	2021.787671
NODE_0000579	2017-06-26	2017.484572
OR971504	2018-09-14	2018.702740
OR971503	2018-08-10	2018.606849
NODE_0000581	2017-10-26	2017.817732
OR971499	2018-02-20	2018.138356
OR971502	2018-05-02	2018.332877
NODE_0000590	1998-05-30	1998.410194
NODE_0000591	2002-10-11	2002.775887
NODE_0000592	2016-08-28	2016.656197
OR971395	2019-09-20	2019.719178
OR971397	2019-10-07	2019.765753
NODE_0000593	2006-04-05	2006.257943
Z-07-387	2007-12-07	2007.932877
Z-07-366	2007-11-12	2007.864384
NODE_0000594	2005-08-15	2005.620824
Z-12-029	2012-02-03	2012.091530
NODE_0000595	2007-02-18	2007.132898
NODE_0000596	2011-11-14	2011.870513
OR971534	2019-04-15	2019.286301
NODE_0000597	2021-08-12	2021.613280
OR971543	2021-10-07	2021.765753
R6-21-4511	2021-10-08	2021.768493
NODE_0000598	2008-07-13	2008.531673
NODE_0000599	2010-06-24	2010.476881
NODE_0000620	2011-09-30	2011.745982
NODE_0000621	2017-07-16	2017.537698
OR971483	2019-08-16	2019.623288
NODE_0000622	2019-08-08	2019.600763
OR971426	2021-09-09	2021.689041
NODE_0000623	2021-07-13	2021.529764
OR971375	2022-08-30	2022.661644
OR971376	2022-09-05	2022.678082
NODE_0000624	2017-10-29	2017.826090
OR971356	2020-01-10	2020.025956
MN857167	2019-06-26	2019.483562
NODE_0000383	2018-08-29	2018.657882
OR971464	2021-11-08	2021.853425
NODE_0000384	2019-01-09	2019.024622
OR971458	2020-03-04	2020.173497
OR971457	2020-01-03	2020.006831
NODE_0000628	2012-12-14	2012.953313
NODE_0000629	2014-05-04	2014.338356
Z-14-101	2014-05-04	2014.338356
Z-17-200	2017-10-31	2017.831507
NODE_0000630	2014-09-27	2014.737206
NODE_0000631	2019-03-26	2019.232433
OR971411	2019-09-13	2019.700000
OR971347	2019-09-05	2019.678082
NODE_0000632	2015-03-09	2015.184160
Z-16-151	2016-09-05	2016.678962
NODE_0000633	2016-10-14	2016.785842
MN857168	2019-05-28	2019.404110
NODE_0000634	2019-02-27	2019.158825
