ID,year,country,assignment
OR971530,2021,philippines,
OR971529,2021,philippines,
OR971528,2021,philippines,
OR971527,2021,philippines,
OR971526,2021,philippines,
OR971525,2021,philippines,
OR971524,2021,philippines,
OR971523,2021,philippines,
OR971522,2021,philippines,
OR971521,2021,philippines,
OR971520,2021,philippines,
OR971519,2021,philippines,
OR971518,2021,philippines,
OR971517,2021,philippines,
OR971516,2021,philippines,
OR971515,2021,philippines,
OR971514,2021,philippines,
OR971513,2021,philippines,
OR971512,2021,philippines,
OR971511,2021,philippines,
OR971510,2021,philippines,
OR971509,2021,philippines,
OR971508,2021,philippines,
OR971507,2021,philippines,
OR971506,2019,philippines,
OR971505,2018,philippines,
OR971504,2018,philippines,
OR971503,2018,philippines,
OR971502,2018,philippines,
OR971501,2018,philippines,
OR971500,2018,philippines,
OR971499,2018,philippines,
OR971498,2018,philippines,
OR971497,2022,philippines,
OR971496,2022,philippines,
OR971495,2022,philippines,
OR971344,2022,philippines,
OR971343,2022,philippines,
OR971342,2022,philippines,
OR971341,2022,philippines,
OR971340,2021,philippines,
OR971339,2021,philippines,
OR971338,2021,philippines,
OR971337,2021,philippines,
OR971336,2021,philippines,
OR971335,2021,philippines,
OR971334,2021,philippines,
OR971333,2021,philippines,
OR971332,2021,philippines,
OR971331,2021,philippines,
OR971330,2021,philippines,
OR971329,2019,philippines,
OR971328,2019,philippines,
OR971327,2019,philippines,
OR971326,2019,philippines,
OR971325,2019,philippines,
OR971324,2019,philippines,
OR971323,2019,philippines,
OR971644,2019,philippines,
OR971643,2019,philippines,
OR971642,2019,philippines,
OR971641,2019,philippines,
OR971640,2022,philippines,
OR971639,2022,philippines,
OR971638,2022,philippines,
OR971637,2022,philippines,
OR971636,2022,philippines,
OR971635,2022,philippines,
OR971634,2022,philippines,
OR971633,2022,philippines,
OR971632,2022,philippines,
OR971631,2022,philippines,
OR971630,2022,philippines,
OR971629,2021,philippines,
OR971628,2021,philippines,
OR971627,2021,philippines,
OR971626,2021,philippines,
OR971625,2021,philippines,
OR971624,2021,philippines,
OR971623,2021,philippines,
OR971622,2021,philippines,
OR971621,2021,philippines,
OR971620,2021,philippines,
OR971619,2021,philippines,
OR971618,2021,philippines,
OR971617,2021,philippines,
OR971616,2021,philippines,
OR971615,2019,philippines,
OR971614,2019,philippines,
OR971613,2019,philippines,
OR971612,2019,philippines,
OR971611,2019,philippines,
OR971610,2019,philippines,
OR971609,2019,philippines,
OR971608,2019,philippines,
OR971607,2019,philippines,
OR971606,2019,philippines,
OR971605,2019,philippines,
OR971604,2019,philippines,
OR971603,2019,philippines,
