#node	date	numeric date
OR971543	2021-10-06	2021.764380
R6-21-4511	2021-10-07	2021.767120
NODE_0000598	2008-08-05	2008.595576
NODE_0000599	2010-07-03	2010.503036
NODE_0000620	2011-10-16	2011.790915
NODE_0000621	2017-07-11	2017.525625
OR971483	2019-08-16	2019.621920
NODE_0000622	2019-08-09	2019.604247
OR971426	2021-09-08	2021.687670
NODE_0000623	2021-07-15	2021.535742
OR971376	2022-09-04	2022.676710
OR971375	2022-08-29	2022.660270
NODE_0000624	2017-11-03	2017.838492
OR971356	2020-01-09	2020.024590
MN857167	2019-06-25	2019.482190
NODE_0000382	2018-09-09	2018.689228
OR971464	2021-11-07	2021.852050
NODE_0000383	2019-01-13	2019.033311
OR971458	2020-03-03	2020.172130
OR971457	2020-01-02	2020.005460
NODE_0000628	2012-12-20	2012.967272
NODE_0000629	2014-05-04	2014.336990
Z-14-101	2014-05-04	2014.336990
Z-17-200	2017-10-31	2017.830140
NODE_0000630	2014-10-09	2014.771099
NODE_0000631	2019-03-27	2019.235190
OR971411	2019-09-12	2019.698630
OR971347	2019-09-04	2019.676710
NODE_0000632	2015-03-21	2015.217798
Z-16-151	2016-09-05	2016.677600
NODE_0000633	2016-10-25	2016.815535
MN857168	2019-05-28	2019.402740
NODE_0000634	2019-03-03	2019.167985
OR971438	2021-10-25	2021.813700
NODE_0000641	2019-12-06	2019.931365
OR971350	2020-02-05	2020.095630
OR971362	2022-06-13	2022.446580
NODE_0000643	2020-03-30	2020.245900
OR971351	2020-03-30	2020.245900
OR971352	2020-06-14	2020.453550
NODE_0000398	2019-12-25	2019.982340
NODE_0000635	2021-09-08	2021.687670
OR971425	2021-09-08	2021.687670
R3-0483	2022-01-01	2022.000000
NODE_0000406	2019-12-25	2019.982340
NODE_0000640	2021-06-08	2021.434552
OR971374	2022-08-26	2022.649320
OR971366	2022-08-04	2022.591780
NODE_0000638	2021-02-11	2021.112330
OR971379	2022-09-23	2022.726030
OR971359	2021-02-11	2021.112330
NODE_0000600	2010-08-08	2010.602282
NODE_0000601	2010-09-11	2010.693864
RADDL3-15-172	2015-02-12	2015.115070
NODE_0000602	2010-10-11	2010.776772
NODE_0000603	2010-12-31	2010.999541
Z-12-001	2012-01-19	2012.051910
Z-12-060	2012-02-24	2012.150270
NODE_0000604	2012-03-01	2012.164057
Z-12-208	2012-10-02	2012.751370
NODE_0000605	2013-04-24	2013.310970
OR971454	2019-10-24	2019.810960
NODE_0000606	2014-01-30	2014.082190
Z-14-023	2014-01-30	2014.082190
Z-14-033	2014-02-07	2014.101370
NODE_0000607	2014-04-28	2014.322578
